"journal_name","best_quartile","sjr_rank","sjr_index","h_index","citescore","country","oa","publisher"
"...IEEE...International Conference on Connected Health: Applications, Systems and Engineering Technologies. IEEE International Conference on Connected Health: Applications, Systems and Engineering Technologies","UNRANKED","","","","","","",""
"‘Puede que seamos viejos, pero eso nos hace fuertes’: Explorando la quietud de los adultos mayores durante los encierros de emergencia por el COVID-19","UNRANKED","","","","","","",""
"«What pandemic?»: experiences of COVID-19 skeptics in Alajuela, Costa Rica.","UNRANKED","","","","","","",""
"(2020) Social media and social work: Implications and opportunities for practice vii, 228 pp Bristol, United Kingdom: Policy Press|United Kingdom","UNRANKED","","","","","","",""
"(2021) Supporting new digital natives: Children's mental health and wellbeing in a hi-tech age xxxi, 210 pp Bristol, United Kingdom: Policy Press|United Kingdom","UNRANKED","","","","","","",""
"[COVID-19 yönetiminde kan IFN-I seviyelerinin önemi].","UNRANKED","","","","","","",""
"[Covid-19&#039;a Karşi Kullanilan Terapötik Ajanlar: Pandemi Kontrolü &amp;Iacute;çin Bir Çalişma].","UNRANKED","","","","","","",""
"[Filatelide COVID-19 pandemisinin yansımaları]","UNRANKED","","","","","","",""
"[Journal of the Japanese Physical Therapy Association] 理学療法学","UNRANKED","","","","","","",""
"[Kōkūeiseigaku-kai zasshi] 口腔衛生学会雑誌","UNRANKED","","","","","","",""
"[Nihon koshu eisei zasshi] Japanese journal of public health","UNRANKED","","","","","","",""
"[Rehabilitation engineering] リハビリテーション・エンジニアリング","UNRANKED","","","","","","",""
"[Rinsho ketsueki] The Japanese journal of clinical hematology","UNRANKED","","","","","","",""
"[The Journal of Information Science and Technology Association] J1 - 情報の科学と技術","UNRANKED","","","","","","",""
"[Türkiye kaynaklı SARS-CoV-2 genom varyasyonlarının kesitsel değerlendirmesi]","UNRANKED","","","","","","",""
"[Zhonghua yan ke za zhi] Chinese journal of ophthalmology","UNRANKED","","","","","","",""
"&#x000d6;ffentliche Mobilit&#x000e4;t","UNRANKED","","","","","","",""
"&#x000d6;ffentliches Wirtschaftsrecht klipp & klar","UNRANKED","","","","","","",""
"&#x000d6;kologie","UNRANKED","","","","","","",""
"&#x000d6;KZ","UNRANKED","","","","","","",""
"&#x000d6;sterr Wasser- und Abfallw","UNRANKED","","","","","","",""
"&#x000dc;ber die Gesundheitsphilosophie zum Pr&#x000e4;sentismus","UNRANKED","","","","","","",""
"&#x000e4;sthet dermatol kosmetol","UNRANKED","","","","","","",""
"&Iacute;naktif COVID-19 Aşısı (CoronaVac) Sonrasında Sağlık Çalışanlarının Anksiyete, Depresyon ve &Iacute;nsomnia Düzeylerinin Değerlendirilmesi.","UNRANKED","","","","","","",""
"&Iacute;ş Stresinin Mesleki Bağlılık &Uuml;zerindeki Etkisinde Algılanan Örgüt Desteğinin Aracılık Rolü: Bir Vakıf &Uuml;niversitesi Hastanesinde Çalışan Hemşireler &Uuml;zerine Araştırma.","UNRANKED","","","","","","",""
"&quot;16th International Conference &quot;&quot;&quot;&quot;New Educational Strategies in Modern Information Space&quot;&quot;&quot;&quot;, NESinMIS 2021&quot;","UNRANKED","","","","","","",""
"&quot;21st Workshop &quot;&quot;&quot;&quot;From Objects to Agents&quot;&quot;&quot;&quot;, WOA 2020&quot;","UNRANKED","","","","","","",""
